Description;Nom;Numero;Adresse;Horaire;Telephone;Telephone_2;CP;Ville;Site_Internet;Acces;Classe;X_CC43;Y_CC43;X_WGS84;Y_WGS84
Desserte Bibliobus accès PMR;Desserte Bibliobus Lardenne;;place J. Sauvegrain  31000 TOULOUSE;2ème et 4ème Jeudi 9h30 à 12h et 14h30 à 18h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1569026.36510407;2266777.82390661;1.37801847778982;43.5897277998546
Desserte Bibliobus accès PMR;Desserte Bibliobus le TOEC;58;58 voie du TOEC 31000 TOULOUSE;2ème et 4ème Lundi 14h30 à 18h30;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1571053.77330022;2267480.25542502;1.40295451761542;43.5963987090809
Desserte Bibliobus;Desserte Bibliobus Oustalous;53;53 route d'Espagne 31000 TOULOUSE;1er et 3ème Vendredi 14h30 à 18h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1572740.31949653;2265146.4977603;1.42438011623168;43.5756832522885
Desserte Bibliobus accès PMR;Desserte Bibliobus Croix de Pierre;;Bd Déodat de Séverac (parking du lycée) 31000 TOULOUSE;1er;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1572798.88929222;2266492.08044933;1.42479276457655;43.5878024322079
Desserte Bibliobus accès PMR;Desserte Bibliobus Fleurance;;Place Grimaud 31000 TOULOUSE;1er Vendredi 14h30 à 18h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1568406.76366066;2268083.51416981;1.37003354584989;43.6013699651121
Desserte Bibliobus accès PMR;Desserte Bibliobus Ormeau;;Place de l'Ormeau 31000 TOULOUSE;2ème et 4ème Mardi 14h30 à 18h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1577524.56838758;2265446.75678218;1.48353435394784;43.5791778390979
Desserte Bibliobus accès PMR;Desserte Bibliobus Pouvourville;;rue de Fondeville (place de l'Eglise) 31000 TOULOUSE;1er et 3ème Mardi 9h30 à 12h et 14h30 à 18h30;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1575085.85202487;2262090.31161051;1.45411007723975;43.5485716600965
Desserte Bibliobus accès PMR;Desserte Bibliobus Purpan-Bayonne;15;15 route de Bayonne 31000 TOULOUSE;1er Mercredi 15h à 18h30;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1570465.63916471;2268757.72661856;1.39536985896594;43.6077940313138
Ensemble de restauration et d'aide à la sauvegarde de la Mémoire écrite;ERASME;001B;1bis avenue du Château d’Eau 31300 TOULOUSE;;05 62 27 69 11;;31300;Toulouse;http://pro.bibliotheque.toulouse.fr/erasme.html;;Bibliotheque;1572908.72034755;2268119.44780529;1.42577495859358;43.6024660516469
Prêts aux Collectivités;Bibliothèque Nomade;;5 chemin de Perpignan - Parc Monlong 31100 TOULOUSE;Sur RV;05 61 22 34 41;;31000;Toulouse;http://pro.bibliotheque.toulouse.fr/services_aux_collectivites.html;;Bibliotheque;1570557.40189487;2263257.64722638;1.39780556627199;43.5583132988686
Médiathèque;Médiathèque Grand M;;rue Raymond Lizop;Mar au Ven: 10h à 13h - 14h à 19h - Sam: 10h à 19h - Dim: 14h à 18h;05 81 91 79 40;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliotheque;1570810.66296979;2264283.27844922;1.40069793727586;43.5675866975618
Desserte Bibliobus accès PMR;Desserte Bibliobus Montaudran;;imp Lucien Bossoutrot;2ème  et 4ème Vendredi 14h30 à 18h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1577536.03872885;2264915.4668158;1.48379505977753;43.5743983976158
Desserte Bibliobus accès PMR;Desserte Bibliobus Demoiselles;;place Roger Arnaud;2ème et 4ème mercredi de 9h30 à 12h;05 61 22 33 37;;31000;Toulouse;http://www.bibliotheque.toulouse.fr;;Bibliobus;1575895.17088272;2266377.78306642;1.46315309605499;43.587290000798
