NOM;EQ_GESTIONNAIRE;NUMERO;LIB_OFF;ID_SECTEUR_POSTAL;EQ_VILLE;EQ_BIBLIOTHEQUE;EQ_MUSEE;EQ_CINEMA;EQ_GALERIE_LIEU_EXPOSITION;EQ_CONF_RECEPTION;EQ_NTA;EQ_ENSEIGNEMENT;EQ_SALLE_DE_SPECTACLE;EQ_CENTRE_CULTUREL;EQ_CA_MJC_MQ;EQ_CAFE_CONCERT;EQ_STUDIO_DANS_MUSIQUE;EQ_SECTEUR;EQ_QUARTIER;X_CC43;Y_CC43;X_WGS84;Y_WGS84
SALLE DU PONT DES DEMOISELLES;Mairie de Toulouse - Autre Direction;0007;AV ANTOINE DE ST EXUPERY;31400;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.1 - Pont des Demoiselles - Montaudran - La Terrasse;1575788.0002;2266382.0001;1.46182529285081;43.5873102980146
SALLE DU SENECHAL;Mairie de Toulouse - Autre Direction;0017;RUE DE REMUSAT;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574409.0002;2268471.0003;1.44427337639255;43.6058812994207
SALLE ERNEST RENAN;Mairie de Toulouse - DGA Culture;0005;CHE D AUDIBERT;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574327.9997;2271893;1.44248443542542;43.636663064506
SALLE JEAN MERMOZ;Mairie de Toulouse - Autre Direction;0007;ALL GABRIEL BIENES;31400;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1573746.9997;2266100.9998;1.4366211761622;43.5844423855533
SALLE JEAN RANCY;Mairie de Toulouse - DGA Culture;0012;RUE JEAN RANCY;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574218.9999;2269003.9999;1.44179788801069;43.6106462009551
SALLE LAFOURGUETTE;Mairie de Toulouse - DGA Culture;0028;RUE DE GIRONIS;31100;TOULOUSE;No;No;No;No;No;No;No;Yes;No;Yes;No;No;6 - Toulouse Ouest;6.5 - Lafourguette;1571858;2263876.0001;1.41375556246048;43.5641001944955
SALLE LAPUJADE;Mairie de Toulouse - Autre Direction;0016;RUE MICHEL ANGE;31200;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575034.9997;2270094;1.4516555291655;43.6205911511649
SALLE LAVIT;Mairie de Toulouse - Autre Direction;0001;RUE LEON JOUHAUX;31500;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1575751.0003;2269268;1.46071244732688;43.6132761992247
SALLE LEONCE CASTELBOU;Mairie de Toulouse - DGA Culture;0022;RUE LEONCE CASTELBOU;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1573903.9999;2269007.9997;1.43789557723089;43.6106295451013
SALLE LIMAYRAC;Mairie de Toulouse - DGA Culture;0022;RUE XAVIER DARASSE;31500;TOULOUSE;No;No;No;No;No;No;No;Yes;No;Yes;No;No;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1577239.0001;2266595.9999;1.47974179972884;43.5894738822455
SALLE NOUGARO - LAC;Structure commerciale;0020;CHE DE GARRIC;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;3 - Toulouse Nord;3.2 - Sept Deniers - Ginestous;1571532.9998;2270228.9999;1.40824351581014;43.621216983555
SALLE OSETE;Mairie de Toulouse - Autre Direction;0006;RUE LT COLONEL PELISSIER;31000;TOULOUSE;No;No;No;No;Yes;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574605.9998;2268193.0002;1.44677676396302;43.6034123114706
STUDIO DE REPETITION ALBAN MINVILLE;Mairie de Toulouse - DGA Culture;0001;PL MARTIN LUTHER KING;31100;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;Yes;6 - Toulouse Ouest;6.3 - Mirail - Reynerie - Bellefontaine;1570673.0001;2263946.9997;1.39907347161137;43.5645368269328
STUDIO DE REPETITION CITE DE L'HERS;Mairie de Toulouse - DGA Culture;0056;CHE DU CHATEAU DE L HERS;31500;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;Yes;4 - Toulouse Est;4.3 - Côte Pavée - l’Hers - La Terrasse;1577608.0002;2267801.0002;1.48404121036693;43.600378135137
STUDIO DE REPETITION DES CHAMOIS;Mairie de Toulouse - DGA Culture;0011;RUE DES CHAMOIS;31200;TOULOUSE;No;No;No;No;No;No;No;No;No;No;No;Yes;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1574367.0002;2272176.0002;1.44290267631934;43.639216331904
THEATRE 2 L'ACTE - LE RING;Association;0151;RTE DE BLAGNAC;31200; TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;Yes;3 - Toulouse Nord;3.2 - Sept Deniers - Ginestous;1571294.9998;2270340.0003;1.40526920556992;43.6221752662732
THEATRE DE LA DIGUE;Association;0003;RUE DE LA DIGUE;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;2 - Rive Gauche;2.2 - Croix de Pierre - Route d'Espagne;1573090;2266126.0003;1.42848171415781;43.5845570432665
THEATRE DE LA VIOLETTE;Association;0067;CHE PUJIBET;31200;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;3 - Toulouse Nord;3.4 - Trois Cocus - Borderouge - Croix Daurade - Paleficat;1575421;2272164.0001;1.45596574512203;43.6392834286229
THEATRE DE POCHE;Association;0010;RUE D EL ALAMEIN;31500;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575228.0002;2270074.0003;1.45405086809205;43.6204431595961
THEATRE DU CAPITOLE;Mairie de Toulouse - DGA Culture;0001;PL DU CAPITOLE;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574386.9999;2268247.9999;1.44405207187261;43.6038707939495
THEATRE DU CHIEN BLANC;Association;0025;RUE DU GEN JEAN COMPANS;31500;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;4 - Toulouse Est;4.2 - Jolimont - Soupetard - Bonhoure;1575417.9998;2268681.0003;1.45672149786144;43.6079386443329
THEATRE DU GRAND ROND;Association;0023;RUE DES POTIERS;31000; TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575174.0001;2267649.9997;1.45393461368809;43.5986199957252
THEATRE DU HANGAR;Association;0011;RUE DES CHEMINOTS;31500;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;4 - Toulouse Est;4.1 - Bonnefoy - Roseraie - Gramont;1575242.9998;2269439.0002;1.45438141071724;43.6147311268542
THEATRE DU PAVE;Association;0034;RUE MARAN;31400;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574628.0001;2265699.0003;1.44762000273419;43.5809717034957
THEATRE DU PONT NEUF;Association;0008;PL BENOIT ARZAC;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573503;2267498.0003;1.43327787347821;43.5969734811621
THEATRE GARONNE;Association;0001;AV DU CHATEAU D EAU;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;Yes;2 - Rive Gauche;2.1 - Saint Cyprien;1572874.0003;2268149.0003;1.42533813651392;43.6027261448412
THEATRE LE FIL A PLOMB;Association;0030;RUE DE LA CHAINE;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574005.9997;2268870.9999;1.43919041025051;43.6094137153294
THEATRE LE VENT DES SIGNES;Association;0006;IMP VARSOVIE;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;2 - Rive Gauche;2.1 - Saint Cyprien;1573188;2267504;1.42937597590236;43.5969745352879
THEATRE LES 3 T;Structure commerciale;0040;RUE GABRIEL PERI;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;1 - Toulouse Centre;1.3 - Les Chalets - St Aubin - St Etienne;1575328.9997;2268498;1.45566091234711;43.6062770539942
THEATRE NATIONAL DE TOULOUSE (TNT);Structure mixte;0001;RUE PIERRE BAUDIS;31000;TOULOUSE;No;No;No;No;No;No;Yes;Yes;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574852.0001;2268254.0003;1.44980927300236;43.6040021633885
THEATRE SORANO;Mairie de Toulouse - DGA Culture;0035;ALL JULES GUESDE;31000;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;5 - Toulouse Sud-Est;5.3 - Saint Michel - Le Busca - Empalot - Saint Agne;1574763;2267164.0002;1.44895634201386;43.5941781533207
UGC CINEMA;Structure commerciale;0009;ALL DU PRESIDENT ROOSEVELT;31000;TOULOUSE;No;No;Yes;No;No;No;No;No;No;No;No;No;1 - Toulouse Centre;1.1 - Capitole;1574715.0003;2268429.0003;1.44807262148007;43.6055542698901
ZENITH;Structure commerciale;0011;AV RAYMOND BADIOU;31300;TOULOUSE;No;No;No;No;No;No;No;Yes;No;No;No;No;2 - Rive Gauche;2.4 - Fontaine Bayonne - Cartoucherie;1571497.0002;2267784;1.40837146109601;43.5992078756045
